S.No.,Name of Employment Exchange,Online Registration of Job Seeker
1,"District Employment Exchange, Agar Malwa",397
2,"District Employment Exchange, Alirajpur",458
3,"District Employment Exchange, Anuppur",812
4,"District Employment Exchange, Ashoknagar",2320
5,"District Employment Exchange, Balaghat",12967
6,"District Employment Exchange, Barwani",6531
7,"District Employment Exchange, Betul",9970
8,"District Employment Exchange, Bhind",13702
9,"District Employment Exchange, Bhopal",13446
10,"District Employment Exchange, Chhatarpur",8355
11,"District Employment Exchange, Chhindwara",12249
12,"District Employment Exchange, Damoh",7543
13,"District Employment Exchange, Datia",5886
14,"District Employment Exchange, Dewas",7392
15,"District Employment Exchange, Dhar",11671
16,"District Employment Exchange, Dindori",5517
17,"District Employment Exchange, Guna",5760
18,"District Employment Exchange, Gwalior",15366
19,"District Employment Exchange, Harda",2761
20,"District Employment Exchange, Hoshangabad",8382
21,"District Employment Exchange, Indore",12745
22,"District Employment Exchange, Jabalpur",11851
23,"District Employment Exchange, Jhabua",7343
24,"District Employment Exchange, Katni",5749
25,"District Employment Exchange, Khandwa",4749
26,"District Employment Exchange, Khargone",8706
27,"District Employment Exchange, Mandla",8923
28,"District Employment Exchange, Mandsaur",5436
29,"District Employment Exchange, Morena",12006
30,"District Employment Exchange, Narsinghpur",6620
31,"District Employment Exchange, Neemuch",3614
32,"District Employment Exchange, Panna",6144
33,"District Employment Exchange, Raisen",5222
34,"District Employment Exchange, Rajgarh",7155
35,"District Employment Exchange, Ratlam",6371
36,"District Employment Exchange, Rewa",16491
37,"District Employment Exchange, Sagar",14829
38,"District Employment Exchange, Satna",11564
39,"District Employment Exchange, Sehore",6633
40,"District Employment Exchange, Seoni",12272
41,"District Employment Exchange, Shahdol",7178
42,"District Employment Exchange, Shajapur",5938
43,"District Employment Exchange, Sheopur",689
44,"District Employment Exchange, Shivpuri",8574
45,"District Employment Exchange, Sidhi",6309
46,"District Employment Exchange, Tikamgarh",7406
47,"District Employment Exchange, Ujjain",8344
48,"District Employment Exchange, Umaria",3750
49,"District Employment Exchange, Vidisha",6426
50,"Project Employment Exchange, Singrauli",4703
51,"Special Employement Exchange for PHP, Jabalpur",454
52,"Town Employment Exchange, Burhanpur",2979
NA,Total,388658
